,City,NumofHotels
640,Shakopee,1
641,Shepherdsville,1
642,Shreveport,2
643,Sierra Vista,1
644,Signal Hill,1
645,Sikeston,1
646,Silver Creek,1
647,Silverthorne,1
648,Silverton,1
649,Sioux City,1
650,Slidell,1
651,Soddy Daisy,1
652,Somerset,3
653,South Deerfield,1
654,South Portland,1
655,Southern Pines,2
656,Southfield,1
657,Southport,2
658,Spearfish,4
659,Spokane,1
660,Springdale,2
661,Springfield,6
662,St. Robert,1
663,Staten Island,1
664,Statesville,2
665,Steamboat Springs,1
666,Stevens,1
667,Stevenson,1
668,Stirling City,1
669,Stockton,2
670,Stone Creek,1
671,Strasburg,2
672,Studio City,1
673,Sulphur,1
674,Summerton,1
675,Sumner,1
676,Sunnyvale,2
677,Sweetwater,1
678,Sylacauga,1
679,Tacoma,1
680,Takoma Park,1
681,Tallulah,1
682,Tannersville,1
683,Tappahannock,1
684,Tatum,1
685,Telluride,2
686,Terre Haute,1
687,Tigerton,1
688,Tinley Park,1
689,Titusville,1
690,Toledo,1
691,Towson,1
692,Tracy,1
693,Troutdale,1
694,Troy,2
695,Tucson,4
696,Tucumcari,1
697,Tulsa,1
698,Twin Falls,1
699,Twin Mountain,1
700,Tyler,1
701,Ulysses,1
702,Umatilla,1
703,Upland,1
704,Utica,1
705,Vail,1
706,Valentine,1
707,Van Horn,1
708,Vandalia,1
709,Vashon,1
710,Viburnum,1
711,Vicksburg,1
712,Victorville,1
713,Vinita,1
714,Virginia Beach,4
715,Volcano,1
716,Waco,2
717,Wakonda,1
718,Walden,1
719,Walker,1
720,Wall,1
721,Wapello,1
722,Warner Robins,1
723,Warren,1
724,Washington,4
725,Watertown,1
726,Waterville,1
727,Watsonville,1
728,Wellsville,1
729,Wellton,1
730,Weslaco,1
731,West Deptford,1
732,West Memphis,1
733,West Monroe,1
734,West Palm Beach,2
735,West Springfield,1
736,West Yarmouth,2
737,West Yellowstone,1
738,Westmont,1
739,Wheeler,1
740,Whigham,1
741,Whitefish,1
742,Whitehall,1
743,Williams Bay,1
744,Williamsburg,1
745,Willows,1
746,Wilmington,2
747,Windom,1
748,Winston Salem,1
749,Winthrop,1
750,Wittman,1
751,Wolfeboro,1
752,Woodburn,1
753,Woodland,1
754,Woodland Hills,1
755,Woodstock,2
756,Worthington,2
757,Yakima,1
758,Yellville,1
759,Young,1
760,Young Harris,1
